      Name                       Iter             Cost        RelResidual    Time    Nnz_Orgigin    Nnz_Minimizer  norm(x_x0)
e_UnScaled_4x4                      4           2.628059e-14   2.482442e-08   1.587   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.628059e-14   2.482442e-08   1.577   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.628059e-14   2.482442e-08   1.607   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.862394e-13   9.254447e-08   1.736   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.862394e-13   9.254447e-08   1.763   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           1.562735e-02   3.417523e-08   2.669   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.999645e-02   9.574661e-07   2.103   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   4.610   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   4.684   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   4.604   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   4.643   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   4.593   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           6.962063e-02   8.326174e-07   2.731   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           1.707356e-01   1.730391e-05   7.434   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      6           1.699242e-01   9.500259e-06   9.188   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           1.693240e-01   1.342622e-05   8.681   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           1.693240e-01   1.342622e-05   5.191   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.793716e-01   8.478577e-05   6.310   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.815333e+00   2.040148e-05   35.069   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.815333e+00   2.040148e-05   34.584   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.815333e+00   2.040148e-05   35.021   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.815333e+00   2.040148e-05   34.370   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484024e-01   7.246376e-05   5.464   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484024e-01   7.246376e-05   5.405   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484024e-01   7.246376e-05   5.407   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484025e-01   7.586214e-05   6.350   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.517102e+00   9.067568e-05   37.744   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.517102e+00   9.067568e-05   36.446   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484025e-01   7.586214e-05   6.357   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484024e-01   7.246376e-05   5.529   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           3.629859e-09   3.586858e-05   1.021   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      3           3.629859e-09   3.586858e-05   0.453   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.484024e-01   7.246376e-05   2.393   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.517119e+00   1.429028e-05   12.118   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.575725e+00   4.166700e-05   56.672   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.158612e-01   7.653804e-05   5.495   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      5           4.086769e-01   3.558316e-06   9.846   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.158612e-01   7.653804e-05   5.557   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.983272e-01   2.744940e-05   4.555   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.034971e-01   1.910059e-05   3.727   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           4.033185e+00   1.770975e-05   35.833   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           1.006432e+00   1.234724e-05   7.178   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.992579e-01   2.896187e-05   4.494   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.992579e-01   2.896187e-05   4.463   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.992579e-01   2.896187e-05   4.536   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           3.992579e-01   2.896187e-05   4.646   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.439065e+00   1.676787e-05   22.982   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.439065e+00   1.676787e-05   22.876   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.439065e+00   1.676787e-05   22.999   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.407758e-01   7.759064e-05   3.225   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.407758e-01   7.759064e-05   3.267   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      4           2.407758e-01   7.759064e-05   3.263   0.000000e+00   0.000000e+00   0.000000e+00   
e_UnScaled_4x4                      7           2.798959e-02   2.678049e-05   2.098   0.000000e+00   0.000000e+00   0.000000e+00   
